index,type,from,to,dataset,year,change,reversions,reversion_count,reverts_a_previous_change,reverts_a_later_change,complete_reversions,complete_reversions_summary,complete_reversion_count,completely_reverts_a_previous_change,completely_reverts_a_later_change
330,split,Oceanodroma leucorhoa,"Oceanodroma leucorhoa, Oceanodroma socorroensis, Oceanodroma cheimomnestes",aou_7_57 (2016),2016,"Oceanodroma leucorhoa -> Oceanodroma leucorhoa + Oceanodroma socorroensis + Oceanodroma cheimomnestes [split, aou_7_57 (2016)]","Oceanodroma leucorhoa + Oceanodroma soccoroensis -> Oceanodroma leucorhoa [lump, aou_4_21 (1946)]",1,yes,no,,,0,no,no
331,split,Colibri thalassinus,"Colibri thalassinus, Colibri cyanotus",aou_7_57 (2016),2016,"Colibri thalassinus -> Colibri thalassinus + Colibri cyanotus [split, aou_7_57 (2016)]",,0,no,no,,,0,no,no
332,split,Aramides cajaneus,"Aramides albiventris, Aramides cajaneus",aou_7_57 (2016),2016,"Aramides cajaneus -> Aramides albiventris + Aramides cajaneus [split, aou_7_57 (2016)]",,0,no,no,,,0,no,no
333,split,Momotus momota,"Momotus momota, Momotus lessonii, Momotus coeruliceps, Momotus subrufescens",aou_7_57 (2016),2016,"Momotus momota -> Momotus momota + Momotus lessonii + Momotus coeruliceps + Momotus subrufescens [split, aou_7_57 (2016)]",,0,no,no,,,0,no,no
334,split,Psittacara chloropterus,"Psittacara chloropterus, Psittacara maugei",aou_7_57 (2016),2016,"Psittacara chloropterus -> Psittacara chloropterus + Psittacara maugei [split, aou_7_57 (2016)]",,0,no,no,,,0,no,no
335,split,Sirystes sibilator,"Sirystes sibilator, Sirystes albogriseus",aou_7_57 (2016),2016,"Sirystes sibilator -> Sirystes sibilator + Sirystes albogriseus [split, aou_7_57 (2016)]",,0,no,no,,,0,no,no
336,split,Aphelocoma californica,"Aphelocoma californica, Aphelocoma woodhouseii",aou_7_57 (2016),2016,"Aphelocoma californica -> Aphelocoma californica + Aphelocoma woodhouseii [split, aou_7_57 (2016)]","Aphelocoma woodhousei + Aphelocoma texana + Aphelocoma cyanotis + Aphelocoma californica -> Aphelocoma californica [lump, aou_4 (1931)]",1,yes,no,,,0,no,no
337,lump,"Fulica caribaea, Fulica americana",Fulica americana,aou_7_57 (2016),2016,"Fulica caribaea + Fulica americana -> Fulica americana [lump, aou_7_57 (2016)]",,0,no,no,,,0,no,no
338,split,Cantorchilus modestus,"Cantorchilus elutus, Cantorchilus modestus, Cantorchilus zeledoni",aou_7_57 (2016),2016,"Cantorchilus modestus -> Cantorchilus elutus + Cantorchilus modestus + Cantorchilus zeledoni [split, aou_7_57 (2016)]",,0,no,no,,,0,no,no
339,split,Basileuterus tristriatus,"Basileuterus tristriatus, Basileuterus melanotis, Basileuterus tacarcunae",aou_7_57 (2016),2016,"Basileuterus tristriatus -> Basileuterus tristriatus + Basileuterus melanotis + Basileuterus tacarcunae [split, aou_7_57 (2016)]",,0,no,no,,,0,no,no
