name,cluster,cluster_count,datasets,dates,recognized_in_first_dataset,recognized_in_last_dataset,suspicious,"Note that every ""fixed"" here means that the cluster was broken. No other taxonomic changes were entered."
Archilochus alexandri,"Trochilus alexandri, Archilochus alexandri",2,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; February 1982; 2017,yes,yes,no,
Archilochus colubris,"Trochilus colubris, Archilochus colubris",2,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; February 1982; 2017,yes,yes,no,
Ardea alba,"Casmerodius albus, Ardea alba",2,Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_40 (1995); Checklist NACC_list_species_aou_7_57.csv (2017),1957; January 1982; February 1982; 1995; 2017,no,yes,yes,Avibase: rename
Ardea cinerea,Ardea cinerea,1,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1957; January 1982; 1983; 2017,yes,yes,no,
Ardea herodias,Ardea herodias,1,Checklist aou_1.csv (1886); Dataset aou_2_12 (1903); Dataset aou_5_32 (1973); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1903; 1973; February 1982; 2017,yes,yes,no,
Ardea occidentalis,Ardea occidentalis,1,Checklist aou_1.csv (1886); Dataset aou_5_32 (1973),1886; 1973,yes,no,no,
Ardea wardi,Ardea wardi,1,Checklist aou_1.csv (1886); Dataset aou_2_12 (1903),1886; 1903,yes,no,no,
Ardenna bulleri,"Puffinus bulleri, Ardenna bulleri, Thyellodroma bulleri",3,Dataset aou_2_12 (1903); Dataset aou_3_18 (1923); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_57 (2016); Checklist NACC_list_species_aou_7_57.csv (2017),1903; 1923; 1931; 1944; January 1982; February 1982; 2016; 2017,no,yes,no,
Ardenna carneipes,"Puffinus carneipes, Ardenna carneipes",2,Dataset aou_3_16 (1912); Dataset aou_3_18 (1923); Dataset aou_4 (1931); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_57 (2016); Checklist NACC_list_species_aou_7_57.csv (2017),1912; 1923; 1931; January 1982; February 1982; 2016; 2017,no,yes,no,
Ardenna creatopus,"Puffinus creatopus, Ardenna creatopus",2,Checklist aou_1.csv (1886); Dataset aou_3_18 (1923); Dataset aou_4 (1931); Checklist aou_5_34.csv (February 1982); Dataset aou_7_57 (2016); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1923; 1931; February 1982; 2016; 2017,yes,yes,no,
Ardenna gravis,"Ardenna gravis, Puffinus gravis, Puffinus major",3,Checklist aou_1.csv (1886); Dataset aou_2_08 (1897); Dataset aou_3_18 (1923); Dataset aou_4 (1931); Checklist aou_5_34.csv (February 1982); Dataset aou_7_51 (2010); Dataset aou_7_57 (2016); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1897; 1923; 1931; February 1982; 2010; 2016; 2017,yes,yes,yes,Avibase: rename
Ardenna grisea,"Puffinus griseus, Ardenna grisea",2,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3 (1910); Dataset aou_3_18 (1923); Dataset aou_4 (1931); Checklist aou_5_34.csv (February 1982); Dataset aou_7_57 (2016); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1910; 1923; 1931; February 1982; 2016; 2017,yes,yes,no,
Ardenna pacifica,"Thyellodroma cuneata, Puffinus pacificus, Ardenna pacifica, Puffinus cuneatus",4,Dataset aou_2_12 (1903); Dataset aou_3_18 (1923); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Dataset aou_7_57 (2016); Checklist NACC_list_species_aou_7_57.csv (2017),1903; 1923; 1931; 1944; February 1982; 2016; 2017,no,yes,yes,Avibase: rename
Ardenna tenuirostris,"Puffinus tenuirostris, Ardenna tenuirostris",2,Checklist aou_1.csv (1886); Dataset aou_3_18 (1923); Dataset aou_4 (1931); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_57 (2016); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1923; 1931; January 1982; February 1982; 2016; 2017,yes,yes,no,
Arenaria interpres,Arenaria interpres,1,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_4 (1931); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1931; February 1982; 2017,yes,yes,no,
Arenaria melanocephala,Arenaria melanocephala,1,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; February 1982; 2017,yes,yes,no,
Arenaria morinella,Arenaria morinella,1,Dataset aou_2_10 (1901); Dataset aou_2_14 (1908),1901; 1908,no,no,no,
Arquatella couesi,"Tringa couesi, Arquatella couesi",2,Checklist aou_1.csv (1886); Dataset aou_2_12 (1903); Dataset aou_2_14 (1908),1886; 1903; 1908,yes,no,no,
Arremonops rufivirgatus,"Arremonops rufivirgata, Embernagra rufivirgata, Arremonops rufivirgatus",3,Checklist aou_1.csv (1886); Dataset aou_2_08 (1897); Dataset aou_3 (1910); Dataset aou_5 (1957); Dataset aou_5_32 (1973); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1897; 1910; 1957; 1973; January 1982; February 1982; 2017,yes,yes,no,
Artemisiospiza belli,"Artemisiospiza belli, Amphispiza belli, Amphispiza belli nevadensis",3,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_53 (2012); Dataset aou_7_54 (2013); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; 1944; 1957; January 1982; February 1982; 2012; 2013; 2017,yes,yes,no,
Artemisiospiza nevadensis,Artemisiospiza nevadensis,1,Dataset aou_7_54 (2013); Checklist NACC_list_species_aou_7_57.csv (2017),2013; 2017,no,yes,no,
Asio flammeus,"Asio flammeus, Asio accipitrinus",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; February 1982; 2017,yes,yes,yes,Avibase: rename
Asio otus,Asio otus,1,Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1944; February 1982; 2017,no,yes,no,
Asio wilsonianus,Asio wilsonianus,1,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_3 (1910); Dataset aou_4_19 (1944),1886; 1908; 1910; 1944,yes,no,no,
Astur atricapillus,"Accipiter atricapillus, Accipiter atricapillus striatulus, Astur atricapillus",3,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_2_15 (1909); Dataset aou_3 (1910); Dataset aou_3_18 (1923); Dataset aou_4 (1931); Dataset aou_4_19 (1944),1886; 1908; 1909; 1910; 1923; 1931; 1944,yes,no,no,
Athene cunicularia,"Speotyto cunicularia hypogaea, Speotyto cunicularia floridana, Athene cunicularia, Speotyto cunicularia",4,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_5_33 (1976); Checklist aou_5_34.csv (February 1982); Dataset aou_6_38 (1991); Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1976; February 1982; 1991; 1997; 2017,yes,yes,no,
Atthis heloisa,Atthis heloisa,1,Dataset aou_3_18 (1923); Dataset aou_4 (1931); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1923; 1931; January 1982; February 1982; 2017,no,yes,no,
Atthis morcomi,Atthis morcomi,1,Dataset aou_3 (1910); Dataset aou_3_18 (1923),1910; 1923,no,no,no,
Auriparus flaviceps,Auriparus flaviceps,1,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 2017,yes,yes,no,
Aythya affinis,"Nyroca affinis, Aythya affinis, Marila affinis",3,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_4 (1931); Dataset aou_4_20 (1945); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1931; 1945; 1957; February 1982; 2017,yes,yes,no,
Aythya americana,"Marila americana, Aythya americana, Nyroca americana",3,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_4 (1931); Dataset aou_4_20 (1945); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1931; 1945; February 1982; 2017,yes,yes,no,
Aythya baeri,Aythya baeri,1,Dataset aou_4_25 (1950); Dataset aou_5_34 (January 1982),1950; January 1982,no,no,no,
Aythya collaris,"Nyroca collaris, Marila collaris, Aythya collaris",3,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_4 (1931); Dataset aou_4_20 (1945); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1931; 1945; February 1982; 2017,yes,yes,no,
Aythya ferina,"Nyroca ferina, Aythya ferina",2,Dataset aou_4 (1931); Dataset aou_4_20 (1945); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1931; 1945; 1957; February 1982; 2017,no,yes,no,
Aythya fuligula,"Nyroca fuligula, Aythya fuligula",2,Dataset aou_4 (1931); Dataset aou_4_20 (1945); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1931; 1945; February 1982; 2017,no,yes,no,
Aythya marila,"Nyroca marila, Marila marila, Aythya marila nearctica, Aythya marila",4,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_3 (1910); Dataset aou_4 (1931); Dataset aou_4_20 (1945); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1910; 1931; 1945; 1957; February 1982; 2017,yes,yes,no,
Aythya valisineria,"Aythya valisineria, Marila vallisneria, Marila valisineria, Aythya vallisneria, Nyroca valisineria",5,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_3 (1910); Dataset aou_4 (1931); Dataset aou_4_20 (1945); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1910; 1931; 1945; 1957; February 1982; 2017,yes,yes,no,
Baeolophus atricristatus,"Parus atricristatus, Baeolophus atricristatus",2,Checklist aou_1.csv (1886); Dataset aou_2_12 (1903); Dataset aou_4_19 (1944); Dataset aou_5_33 (1976); Dataset aou_7_43 (2002); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1903; 1944; 1976; 2002; 2017,yes,yes,no,
Baeolophus bicolor,"Baeolophus bicolor, Parus bicolor",2,Checklist aou_1.csv (1886); Dataset aou_2_12 (1903); Dataset aou_4_19 (1944); Dataset aou_5_33 (1976); Checklist aou_5_34.csv (February 1982); Dataset aou_6_41 (1997); Dataset aou_7_43 (2002); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1903; 1944; 1976; February 1982; 1997; 2002; 2017,yes,yes,no,
Baeolophus inornatus,"Parus inornatus, Parus inornatus griseus, Parus inornatus cineraceus, Baeolophus inornatus",4,Checklist aou_1.csv (1886); Dataset aou_2_12 (1903); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Dataset aou_6_41 (1997); Dataset aou_7 (1998); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1903; 1944; February 1982; 1997; 1998; 2017,yes,yes,no,
Baeolophus ridgwayi,Baeolophus ridgwayi,1,Dataset aou_6_41 (1997); Dataset aou_7 (1998); Dataset aou_7_42 (2000); Dataset aou_7_49 (2008); Checklist NACC_list_species_aou_7_57.csv (2017),1997; 1998; 2000; 2008; 2017,no,yes,no,
Baeolophus wollweberi,"Parus wollweberi, Baeolophus wollweberi",2,Checklist aou_1.csv (1886); Dataset aou_2_12 (1903); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1903; 1944; February 1982; 1997; 2017,yes,yes,no,
Bartramia longicauda,Bartramia longicauda,1,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; January 1982; February 1982; 2017,yes,yes,no,
Basileuterus belli,Basileuterus belli,1,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1983; 2017,yes,yes,no,
Basileuterus culicivorus,Basileuterus culicivorus,1,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_53 (2012); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; January 1982; February 1982; 1983; 2012; 2017,yes,yes,no,
Basileuterus lachrymosus,"Basileuterus lachrymosus, Euthlypis lachrymosa",2,Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),1931; 1957; January 1982; February 1982; 1983; 2011; 2017,no,yes,no,
Bombycilla cedrorum,"Bombycilla cedrorum, Ampelis cedrorum",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; February 1982; 2017,yes,yes,no,
Bombycilla garrulus,"Bombycilla garrulus, Ampelis garrulus, Bombycilla garrula",3,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_3 (1910); Dataset aou_4_21 (1946); Dataset aou_5 (1957); Dataset aou_5_32 (1973); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1910; 1946; 1957; 1973; February 1982; 2017,yes,yes,no,
Bonasa umbellus,"Bonasa umbellus sabini, Bonasa umbellus umbelloides, Bonasa umbellus, Bonasa umbellus togata",4,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 2017,yes,yes,no,
Botaurus lentiginosus,Botaurus lentiginosus,1,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_4 (1931); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; 1931; February 1982; 2017,yes,yes,no,
Brachyramphus brevirostris,"Brachyramphus brevirostre, Brachyramphus brevirostris, Brachyramphus kittlitzii",3,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_5 (1957); Dataset aou_5_32 (1973); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1957; 1973; February 1982; 2017,yes,yes,yes,Avibase: rename
Brachyramphus marmoratus,"Brachyramphus marmoratus, Brachyramphus marmoratum",2,Checklist aou_1.csv (1886); Dataset aou_5 (1957); Dataset aou_5_32 (1973); Checklist aou_5_34.csv (February 1982); Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1957; 1973; February 1982; 1997; 2017,yes,yes,no,
Brachyramphus perdix,Brachyramphus perdix,1,Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1997; 2017,no,yes,no,
Branta bernicla,Branta bernicla,1,Checklist aou_1.csv (1886); Dataset aou_2 (1895); Dataset aou_2_15 (1909); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_4_26 (1951); Dataset aou_5 (1957); Dataset aou_5_33 (1976); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1895; 1909; 1931; 1944; 1951; 1957; 1976; February 1982; 2017,yes,yes,no,
Branta canadensis,"Branta canadensis occidentalis, Branta canadensis, Branta canadensis hutchinsii, Branta canadensis minima",4,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Dataset aou_7_45 (2004); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2004; 2017,yes,yes,no,
Branta hutchinsii,Branta hutchinsii,1,Dataset aou_7_45 (2004); Checklist NACC_list_species_aou_7_57.csv (2017),2004; 2017,no,yes,no,
Branta leucopsis,Branta leucopsis,1,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2017,yes,yes,no,
Branta nigricans,Branta nigricans,1,Checklist aou_1.csv (1886); Dataset aou_4_19 (1944); Dataset aou_4_26 (1951); Dataset aou_5_33 (1976),1886; 1944; 1951; 1976,yes,no,no,
Bubo scandiacus,"Nyctea nyctea, Nyctea scandiaca, Bubo scandiacus",3,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Dataset aou_7_44 (2003); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1944; February 1982; 2003; 2017,yes,yes,yes,Avibase: rename
Bubo virginianus,"Bubo virginianus arcticus, Bubo virginianus saturatus, Bubo virginianus, Bubo virginianus subarcticus",4,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; February 1982; 2017,yes,yes,no,
Bubulcus ibis,"Bubulcus ibis, Bubulbus ibis",2,Dataset aou_4_29 (1954); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1954; 1957; February 1982; 2017,no,yes,no,
Bucephala albeola,"Charitonetta albeola, Bucephala albeola, Glaucionetta albeola",3,Checklist aou_1.csv (1886); Dataset aou_4_20 (1945); Dataset aou_4_23 (1948); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1945; 1948; 1957; February 1982; 2017,yes,yes,no,
Bucephala clangula,"Bucephala clangula, Glaucionetta clangula americana, Glaucionetta clangula, Clangula clangula",4,Checklist aou_1.csv (1886); Dataset aou_2_08 (1897); Dataset aou_3 (1910); Dataset aou_3_17 (1920); Dataset aou_4 (1931); Dataset aou_4_23 (1948); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1897; 1910; 1920; 1931; 1948; 1957; February 1982; 2017,yes,yes,no,
Bucephala islandica,"Glaucionetta islandica, Bucephala islandica, Clangula islandica",3,Checklist aou_1.csv (1886); Dataset aou_2_08 (1897); Dataset aou_3_17 (1920); Dataset aou_4_23 (1948); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1897; 1920; 1948; 1957; February 1982; 2017,yes,yes,no,
Bulweria bulweri,Bulweria bulweri,1,Checklist aou_1.csv (1886); Dataset aou_3_18 (1923); Dataset aou_4 (1931); Dataset aou_4_22 (1947),1886; 1923; 1931; 1947,yes,no,no,
Buteo albonotatus,"Buteo albonotatus, Buteo abbreviatus",2,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3_18 (1923); Dataset aou_4 (1931); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1923; 1931; February 1982; 2017,yes,yes,yes,Avibase: rename
Buteo borealis,"Buteo borealis kriderii, Buteo borealis, Buteo borealis lucasanus, Buteo borealis calurus",4,Checklist aou_1.csv (1886); Dataset aou_1_03 (1891); Dataset aou_2_15 (1909); Dataset aou_3_18 (1923); Dataset aou_4_19 (1944),1886; 1891; 1909; 1923; 1944,yes,no,no,
Buteo brachyurus,Buteo brachyurus,1,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3_18 (1923); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1923; February 1982; 2017,yes,yes,no,
Buteo buteo,Buteo buteo,1,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_3 (1910); Dataset aou_3_18 (1923); Dataset aou_4 (1931),1886; 1908; 1910; 1923; 1931,yes,no,no,
Buteo harlani,Buteo harlani,1,Checklist aou_1.csv (1886); Dataset aou_1_03 (1891); Dataset aou_4_19 (1944); Dataset aou_5_32 (1973),1886; 1891; 1944; 1973,yes,no,no,
Buteo jamaicensis,Buteo jamaicensis,1,Dataset aou_4_19 (1944); Dataset aou_5_32 (1973); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1944; 1973; February 1982; 2017,no,yes,no,
