name,synonyms,taxon_concept_count,taxon_concepts,trajectory,trajectory_without_renames,trajectory_lumps_splits,first_added_dataset,first_added_year,annotation,common_name,aou_ids,family,french_name,genus,order,rank,scientificName,species,status_accidental,status_extinct,status_hawaiian,status_introduced,status_misplaced,status_nonbreeding,subfamily
Eugenes fulgens,Eugenes fulgens,1,Taxon concept e2a55cdc-9d95-4d44-9e3e-a34a9758faae containing 'Eugenes fulgens' found between 1886 to 2017 in 5 datasets (part of name cluster 1c9d3915-c5a4-4623-a90e-3e81742da778),added -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Magnificent Hummingbird,851; 426,Trochilidae,Colibri de Rivoli,Eugenes,Apodiformes,species,Eugenes fulgens,Eugenes fulgens,NA,NA,NA,NA,NA,NA,Trochilinae
Poecile hudsonicus,Poecile hudsonica; Poecile hudsonicus; Parus hudsonicus; Penthestes hudsonicus,1,Taxon concept 09e1d237-1c16-438e-9ea7-0a0dfb98c03b containing 'Poecile hudsonica' and 'Poecile hudsonicus' and 'Parus hudsonicus' and 'Penthestes hudsonicus' found between 1886 to 2017 in 9 datasets (part of name cluster 6369ea71-52fe-4d00-a0b8-5757a2fd596a),added -> rename -> rename -> referenced -> referenced -> rename -> rename -> rename -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Boreal Chickadee,1338; 740,Paridae,Mésange à tête brune,Poecile,Passeriformes,species,Parus hudsonicus,Poecile hudsonicus,NA,NA,NA,NA,NA,NA,NA
Megaceryle alcyon,Megaceryle alcyon; Ceryle alcyon,1,Taxon concept e77ceaa6-d7eb-44d0-b16d-fecb691e1428 containing 'Ceryle alcyon' and 'Megaceryle alcyon' found between 1886 to 2017 in 8 datasets (part of name cluster 580fac24-ffaf-481f-aee7-b28d3e7a59fc),added -> deleted -> added -> rename -> rename -> referenced -> rename -> referenced,added -> deleted -> added -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Belted Kingfisher,390; 912,Alcedinidae,Martin-pêcheur d'Amérique,Megaceryle,Coraciiformes,species,Ceryle alcyon,Megaceryle alcyon,NA,NA,NA,NA,NA,NA,Cerylinae
Thryomanes bewickii,Thryothorus bewickii; Thryothorus bewickii bairdi; Thryothorus bewickii spilurus; Thryomanes bewicki; Thryomanes bewickii,2,Taxon concept 44297eeb-7c60-4b11-9bb1-fb509e67f7ab containing 'Thryothorus bewickii' and 'Thryothorus bewickii spilurus' and 'Thryomanes bewickii' and 'Thryomanes bewicki' and 'Thryothorus bewickii bairdi' found between 1886 to 1931 in 4 datasets (part of name cluster ed8055e4-843e-482c-acc2-b75e6cd20949); Taxon concept 2604f6eb-4de9-4a8a-ac8c-7e52f323fd60 containing 'Thryomanes bewickii' and 'Thryomanes bewicki' found between 1931 to 2017 in 6 datasets (part of name cluster ed8055e4-843e-482c-acc2-b75e6cd20949),added|added|added -> rename -> rename -> lump -> rename -> added|deleted -> deleted|deleted -> added -> referenced,added|added|added -> lump -> added|deleted -> deleted|deleted -> added -> referenced,lump,aou_1.csv (1886),1886,NA,Bewick's Wren,719b; 719a; 1382; 719,Troglodytidae,Troglodyte de Bewick,Thryomanes,Passeriformes,species,Thryothorus bewickii; Thryothorus bewickii bairdi; Thryothorus bewickii spilurus; Thryomanes bewickii,Thryomanes bewickii,NA,NA,NA,NA,NA,NA,NA
Ammodramus savannarum,Ammodramus savannarum perpallidus; Ammodramus savannarum passerinus; Coturniculus savannarum; Ammodramus savannarum,1,Taxon concept 30894463-27f5-48ac-9a85-3692fdb0aa75 containing 'Ammodramus savannarum perpallidus' and 'Ammodramus savannarum passerinus' and 'Ammodramus savannarum' and 'Coturniculus savannarum' found between 1886 to 2017 in 6 datasets (part of name cluster e8501d5f-0232-41db-aca9-ea959cc100da),added|added -> rename -> rename -> referenced -> deleted|deleted -> referenced,added|added -> referenced -> deleted|deleted -> referenced,,aou_1.csv (1886),1886,NA,Grasshopper Sparrow,546a; 546; 1716,Emberizidae,Bruant sauterelle,Ammodramus,Passeriformes,species,Ammodramus savannarum perpallidus; Ammodramus savannarum passerinus; Ammodramus savannarum,Ammodramus savannarum,NA,NA,NA,NA,NA,NA,NA
Tachycineta bicolor,Tachycineta bicolor; Iridoprocne bicolor,1,Taxon concept 6a900875-340c-49f4-b8c9-eb74ee9fc88f containing 'Tachycineta bicolor' and 'Iridoprocne bicolor' found between 1886 to 2017 in 5 datasets (part of name cluster 54bbda08-f72b-4158-a209-2dea770043e1),added -> rename -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Tree Swallow,614; 1318,Hirundinidae,Hirondelle bicolore,Tachycineta,Passeriformes,species,Tachycineta bicolor,Tachycineta bicolor,NA,NA,NA,NA,NA,NA,Hirundininae
Camptorhynchus labradorius,Camptorhynchus labradorius; Camptorhynchus labradorium; Camptolaimus labradorius,1,Taxon concept 63a56037-06a3-4804-9b4a-c9697db13225 containing 'Camptolaimus labradorius' and 'Camptorhynchus labradorium' and 'Camptorhynchus labradorius' found between 1886 to 2017 in 6 datasets (part of name cluster 33ac0aec-a800-4e89-9aaa-4c24ae87e2fc),added -> rename -> rename -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Labrador Duck,156; 62,Anatidae,Eider du Labrador,Camptorhynchus,Anseriformes,species,Camptorhynchus labradorius; Camptolaimus labradorius,Camptorhynchus labradorius,NA,†,NA,NA,NA,NA,Anatinae
Colaptes chrysoides,Colaptes chrysoides,2,Taxon concept 0b525281-8d46-44c0-bb38-7a5ccd20c3d5 containing 'Colaptes chrysoides' found between 1886 to 1973 in 4 datasets (part of name cluster 63844336-da93-4bac-8db5-f0b56267fe07); Taxon concept 93aa12da-f6ff-4beb-bc40-20855c4ecfa0 containing 'Colaptes chrysoides' found between 1973 to 2017 in 3 datasets (part of name cluster 63844336-da93-4bac-8db5-f0b56267fe07),added -> referenced -> referenced -> lump -> added -> referenced,added -> referenced -> referenced -> lump -> added -> referenced,lump,aou_1.csv (1886),1886,NA,Gilded Flicker,980; 414,Picidae,Pic chrysoïde,Colaptes,Piciformes,species,Colaptes chrysoides,Colaptes chrysoides,NA,NA,NA,NA,NA,NA,Picinae
Phalaropus lobatus,Phalaropus lobatus; Lobipes lobatus,1,Taxon concept 98a2aecd-7f7d-4f61-ad74-6759cf49cc1f containing 'Phalaropus lobatus' and 'Lobipes lobatus' found between 1886 to 2017 in 6 datasets (part of name cluster a102b0e7-8328-4065-90c2-a237a3e4b495),added -> rename -> referenced -> rename -> referenced -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Red-necked Phalarope,223; 458,Scolopacidae,Phalarope à bec étroit,Phalaropus,Charadriiformes,species,Phalaropus lobatus,Phalaropus lobatus,NA,NA,NA,NA,NA,NA,Tringinae
Setophaga graciae,Setophaga graciae; Dendroica graciae,1,Taxon concept 8a24b38a-b8b8-4854-b139-ca92ba589f8d containing 'Setophaga graciae' and 'Dendroica graciae' found between 1886 to 2017 in 8 datasets (part of name cluster d7ef6944-300c-4855-9e3c-9646bca5771c),added -> referenced -> referenced -> referenced -> referenced -> referenced -> rename -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Grace's Warbler,1558; 664,Parulidae,Paruline de Grace,Setophaga,Passeriformes,species,Dendroica graciae,Setophaga graciae,NA,NA,NA,NA,NA,NA,NA
Caracara lutosa,Caracara lutosa; Polyborus lutosus; Caracara lutosus,2,Taxon concept 86c5a807-2737-4668-b148-604401111904 containing 'Caracara lutosus' and 'Caracara lutosa' and 'Polyborus lutosus' found between 1886 to 2000 in 5 datasets (part of name cluster f2241a8c-8cf5-4c6d-9c00-bbbe0463c01d); Taxon concept 50506582-155e-45a0-95d5-e79970fd826e containing 'Caracara lutosa' found between 2000 to 2017 in 2 datasets (part of name cluster f2241a8c-8cf5-4c6d-9c00-bbbe0463c01d),added -> rename -> rename -> deleted -> split -> referenced,added -> deleted -> split -> referenced,split,aou_1.csv (1886),1886,Monotypic.,Guadalupe Caracara,363; 319,Falconidae,Caracara de Guadalupe,Caracara,Falconiformes,species,Polyborus lutosus,Caracara lutosa,NA,†,NA,NA,NA,NA,Falconinae
Leucosticte australis,Leucosticte australis,3,Taxon concept 94ce244b-e8f6-44f8-a80e-c099705e8dce containing 'Leucosticte australis' found between January 1982 to 1993 in 2 datasets (part of name cluster bc7c4af2-736f-4851-9113-2619f33f47c3); Taxon concept cc31dcb4-cc08-48b6-998d-ec8c15315b07 containing 'Leucosticte australis' found between 1886 to January 1982 in 3 datasets (part of name cluster bc7c4af2-736f-4851-9113-2619f33f47c3); Taxon concept 191f993d-c1c2-41e1-8ecd-67d101b3eb04 containing 'Leucosticte australis' found between 1993 to 2017 in 2 datasets (part of name cluster bc7c4af2-736f-4851-9113-2619f33f47c3),added -> referenced -> lump -> split -> referenced,added -> referenced -> lump -> split -> referenced,lump -> split,aou_1.csv (1886),1886,Monotypic.,Brown-capped Rosy-Finch,526; 1848,Fringillidae,Roselin à tête brune,Leucosticte,Passeriformes,species,Leucosticte australis,Leucosticte australis,NA,NA,NA,NA,NA,NA,Carduelinae
Rhodostethia rosea,Rhodostethia rosea,1,Taxon concept 5b8340d8-914b-4454-8676-fb7e8bbdb884 containing 'Rhodostethia rosea' found between 1886 to 2017 in 5 datasets (part of name cluster 4043710f-53b2-4d41-befd-670494fbb35c),added -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Ross's Gull,61; 1989,Laridae,Mouette rosée,Rhodostethia,Charadriiformes,species,Rhodostethia rosea,Rhodostethia rosea,NA,NA,NA,NA,NA,NA,Larinae
Pandion haliaetus,Pandion haliaetus; Pandion haliaetus carolinensis,1,Taxon concept 7b5de9e2-f118-4041-ac62-ef25eda6a089 containing 'Pandion haliaetus carolinensis' and 'Pandion haliaetus' found between 1886 to 2017 in 9 datasets (part of name cluster 0c3a4d75-85a4-492f-ab48-0c9432d3f834),added -> referenced -> referenced -> referenced -> referenced -> added|deleted -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> added|deleted -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Osprey,364; 2005,Pandionidae,Balbuzard pêcheur,Pandion,Accipitriformes,species,Pandion haliaetus; Pandion haliaetus carolinensis,Pandion haliaetus,NA,NA,NA,NA,NA,NA,NA
Cardinalis cardinalis,Cardinalis cardinalis superbus; Cardinalis cardinalis; Richmondena cardinalis; Cardinalis cardinalis igneus,1,Taxon concept cac483a8-fc29-4d27-b08a-1599fc3c494f containing 'Cardinalis cardinalis' and 'Richmondena cardinalis' and 'Cardinalis cardinalis igneus' and 'Cardinalis cardinalis superbus' found between 1886 to 2017 in 7 datasets (part of name cluster bd0ccc9b-4ee2-4bae-a554-34bedfba1691),added|added|added -> rename -> rename -> referenced -> deleted|deleted -> referenced -> referenced,added|added|added -> referenced -> deleted|deleted -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Northern Cardinal,1755; 593a; 593b; 593,Cardinalidae,Cardinal rouge,Cardinalis,Passeriformes,species,Cardinalis cardinalis superbus; Cardinalis cardinalis; Cardinalis cardinalis igneus,Cardinalis cardinalis,NA,NA,NA,NA,NA,NA,NA
Stercorarius parasiticus,Stercorarius parasiticus,1,Taxon concept 0231f0ae-6582-4078-a9bf-135c194a9045 containing 'Stercorarius parasiticus' found between 1886 to 2017 in 5 datasets (part of name cluster aab41928-9703-4b57-a86c-8651130252f2),added -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Parasitic Jaeger,37; 511,Stercorariidae,Labbe parasite,Stercorarius,Charadriiformes,species,Stercorarius parasiticus,Stercorarius parasiticus,NA,NA,NA,NA,NA,NA,NA
Egretta rufescens,Ardea rufa; Ardea rufescens; Egretta rufescens; Dichromanassa rufescens,1,Taxon concept 3e988e1d-c411-4035-ba56-7fa60019f765 containing 'Ardea rufescens' and 'Ardea rufa' and 'Egretta rufescens' and 'Dichromanassa rufescens' found between 1886 to 2017 in 6 datasets (part of name cluster 53ed8c8a-c47c-43b4-8ccd-7f249a0f2dac),added -> rename -> rename -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Reddish Egret,198; 235,Ardeidae,Aigrette roussâtre,Egretta,Pelecaniformes,species,Ardea rufa; Egretta rufescens,Egretta rufescens,NA,NA,NA,NA,NA,NA,NA
Meleagris gallopavo,Meleagris gallopavo mexicana; Meleagris gallopavo,1,Taxon concept 2d648875-8cbb-485d-9f66-06637c3866ed containing 'Meleagris gallopavo mexicana' and 'Meleagris gallopavo' found between 1886 to 2017 in 7 datasets (part of name cluster 01d444a6-ab53-4568-9d3d-00c979712072),added|added -> referenced -> referenced -> referenced -> referenced -> deleted -> referenced,added|added -> referenced -> referenced -> referenced -> referenced -> deleted -> referenced,,aou_1.csv (1886),1886,NA,Wild Turkey,110; 310; 310a,Phasianidae,Dindon sauvage,Meleagris,Galliformes,species,Meleagris gallopavo mexicana; Meleagris gallopavo,Meleagris gallopavo,NA,NA,NA,NA,NA,NA,Meleagridinae
Strix nebulosa,Scotiaptex cinerea; Ulula cinerea lapponica; Scotiaptex nebulosa; Strix nebulosa; Ulula cinerea,1,Taxon concept 2f507289-abb7-44d1-96c3-e3e02d1511a0 containing 'Scotiaptex nebulosa' and 'Ulula cinerea' and 'Ulula cinerea lapponica' and 'Scotiaptex cinerea' and 'Strix nebulosa' found between 1886 to 2017 in 7 datasets (part of name cluster 7d8dd306-ca28-4004-9716-87e0643e5c60),added|added -> rename -> rename -> referenced -> rename -> deleted -> referenced,added|added -> referenced -> deleted -> referenced,,aou_1.csv (1886),1886,NA,Great Gray Owl,698; 370; [370a],Strigidae,Chouette lapone,Strix,Strigiformes,species,Ulula cinerea lapponica; Strix nebulosa; Ulula cinerea,Strix nebulosa,NA,NA,NA,NA,NA,NA,NA
Eudocimus ruber,Guara rubra; Eudocimus ruber,1,Taxon concept 39d0127d-16be-4c66-9dab-808d0a35e0f0 containing 'Eudocimus ruber' and 'Guara rubra' found between 1886 to 2017 in 5 datasets (part of name cluster 113d0457-7a0e-4e50-81a0-96ec69ee848d),added -> referenced -> rename -> referenced -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Scarlet Ibis,[185]; 246,Threskiornithidae,Ibis rouge,Eudocimus,Pelecaniformes,species,Guara rubra; Eudocimus ruber,Eudocimus ruber,A,NA,NA,NA,NA,NA,Threskiornithinae
Charadrius nivosus,Aegialitis nivosa; Charadrius nivosus,3,Taxon concept c1a7bb5c-a883-4a16-bd1b-e0a0f3f9b065 containing 'Aegialitis nivosa' and 'Charadrius nivosus' found between 1886 to 1944 in 3 datasets (part of name cluster 34020fe2-ed41-4196-bc0f-841e988a9bad); Taxon concept da75e0ed-a054-4598-a7b4-e8b6dc7edffc containing 'Charadrius nivosus' found between 2011 to 2017 in 2 datasets (part of name cluster 34020fe2-ed41-4196-bc0f-841e988a9bad); Taxon concept 6991bc15-5127-4196-8488-f1b541d3a2f5 containing 'Charadrius nivosus' found between 1944 to 2011 in 2 datasets (part of name cluster 34020fe2-ed41-4196-bc0f-841e988a9bad),added -> rename -> lump -> split -> referenced,added -> lump -> split -> referenced,lump -> split,aou_1.csv (1886),1886,NA,Snowy Plover,278; 378,Charadriidae,Pluvier neigeux,Charadrius,Charadriiformes,species,Aegialitis nivosa,Charadrius nivosus,NA,NA,NA,NA,NA,NA,Charadriinae
Limnothlypis swainsonii,Limnothlypis swainsonii; Helinaia swainsonii; Helinaia swainsoni,1,Taxon concept 03465777-cdcf-4433-921a-12d7783b6841 containing 'Helinaia swainsoni' and 'Limnothlypis swainsonii' and 'Helinaia swainsonii' found between 1886 to 2017 in 8 datasets (part of name cluster 75cf68b8-e5af-4437-a64f-cc763ace0eb3),added -> rename -> rename -> referenced -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Swainson's Warbler,1579; 638,Parulidae,Paruline de Swainson,Limnothlypis,Passeriformes,species,Limnothlypis swainsonii; Helinaia swainsonii,Limnothlypis swainsonii,NA,NA,NA,NA,NA,NA,NA
Bubo scandiacus,Bubo scandiacus; Nyctea nyctea; Nyctea scandiaca,1,Taxon concept 08a5776b-fda8-49e7-9971-f61d700008ce containing 'Nyctea nyctea' and 'Nyctea scandiaca' and 'Bubo scandiacus' found between 1886 to 2017 in 6 datasets (part of name cluster c614454e-2db6-4d37-bd73-caab0d579513),added -> referenced -> rename -> referenced -> rename -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Snowy Owl,682; 376,Strigidae,Harfang des neiges,Bubo,Strigiformes,species,Nyctea nyctea; Nyctea scandiaca,Bubo scandiacus,NA,NA,NA,NA,NA,NA,NA
Bucephala islandica,Glaucionetta islandica; Bucephala islandica; Clangula islandica,1,Taxon concept ae99d324-438b-46b6-9498-922b0547e6ad containing 'Glaucionetta islandica' and 'Bucephala islandica' and 'Clangula islandica' found between 1886 to 2017 in 7 datasets (part of name cluster 521a6674-98d9-4da7-a423-1054398c51a3),added -> rename -> rename -> rename -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Barrow's Goldeneye,69; 152,Anatidae,Garrot d'Islande,Bucephala,Anseriformes,species,Glaucionetta islandica; Bucephala islandica,Bucephala islandica,NA,NA,NA,NA,NA,NA,Anatinae
Larus canus,Larus canus,2,Taxon concept b4d9f785-b99d-4a00-8809-edc951a0dcaf containing 'Larus canus' found between 1886 to 1931 in 4 datasets (part of name cluster 17220495-5a60-4d41-85ef-7d3478d606af); Taxon concept c836ac0b-9dab-4218-95bc-7fb1cafb53e7 containing 'Larus canus' found between 1931 to 2017 in 4 datasets (part of name cluster 17220495-5a60-4d41-85ef-7d3478d606af),added -> deleted -> added -> lump -> referenced -> referenced -> referenced,added -> deleted -> added -> lump -> referenced -> referenced -> referenced,lump,aou_1.csv (1886),1886,NA,Mew Gull,464; [56],Laridae,Goéland cendré,Larus,Charadriiformes,species,Larus canus,Larus canus,NA,NA,NA,NA,NA,NA,Larinae
Corvus ossifragus,Corvus ossifragus,1,Taxon concept b37af3db-636c-43b2-b236-f77b734b7e14 containing 'Corvus ossifragus' found between 1886 to 2017 in 3 datasets (part of name cluster 9428fc50-2ec0-40e3-b4f1-26fc810e0446),added -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic. ,Fish Crow,1304; 490,Corvidae,Corneille de rivage,Corvus,Passeriformes,species,Corvus ossifragus,Corvus ossifragus,NA,NA,NA,NA,NA,NA,NA
Aechmophorus clarkii,Aechmophorus clarkii,2,Taxon concept 672959a3-710f-4400-97c8-2b9c00c3925a containing 'Aechmophorus clarkii' found between 1985 to 2017 in 2 datasets (part of name cluster f8589a99-d31c-43ba-9dc2-26af87c7dc47); Taxon concept 1b482fa3-0b86-4467-9afa-4b107b15fdeb containing 'Aechmophorus clarkii' found between 1985 in 1 datasets (part of name cluster f8589a99-d31c-43ba-9dc2-26af87c7dc47),split -> referenced,split -> referenced,split,aou_6_35 (1985),1985,NA,Clark's Grebe,141,Podicipedidae,Grèbe à face blanche,Aechmophorus,Podicipediformes,species,NA,Aechmophorus clarkii,NA,NA,NA,NA,NA,NA,NA
Seiurus aurocapilla,Seiurus aurocapillus; Seiurus aurocapilla,1,Taxon concept 52850cdb-53fe-4976-8435-dda18d82ab44 containing 'Seiurus aurocapillus' and 'Seiurus aurocapilla' found between 1886 to 2017 in 8 datasets (part of name cluster f257ad5b-0d20-4a59-b179-f2113535ddc7),added -> referenced -> referenced -> referenced -> referenced -> referenced -> rename -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Ovenbird,674; 1580,Parulidae,Paruline couronnée,Seiurus,Passeriformes,species,Seiurus aurocapillus,Seiurus aurocapilla,NA,NA,NA,NA,NA,NA,NA
Oceanodroma furcata,Oceanodroma furcata,1,Taxon concept b52262f4-088f-46b3-a0fe-1b1eca11217e containing 'Oceanodroma furcata' found between 1886 to 2017 in 5 datasets (part of name cluster a079ef3f-5dfb-4f03-a2bd-bca8bd694008),added -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Fork-tailed Storm-Petrel,105; 184,Hydrobatidae,Océanite à queue fourchue,Oceanodroma,Procellariiformes,species,Oceanodroma furcata,Oceanodroma furcata,NA,NA,NA,NA,NA,NA,NA
Gallinula chloropus,Gallinula chloropus,3,Taxon concept 50bf9861-895a-4bbb-a83e-49d15ee35e91 containing 'Gallinula chloropus' found between 1923 to 2011 in 5 datasets (part of name cluster 50b92b00-bffc-4f04-9ccc-8a43ae1b22cf); Taxon concept 5a496770-fb2e-48cf-8d4c-b8d771a59e61 containing 'Gallinula chloropus' found between 2011 to 2017 in 3 datasets (part of name cluster 50b92b00-bffc-4f04-9ccc-8a43ae1b22cf); Taxon concept b1f6e141-82cd-4bbd-998b-a86da3bb820c containing 'Gallinula chloropus' found between 1923 in 1 datasets (part of name cluster 50b92b00-bffc-4f04-9ccc-8a43ae1b22cf),lump -> referenced -> referenced -> referenced -> split -> added -> referenced,lump -> referenced -> referenced -> referenced -> split -> added -> referenced,lump -> split,aou_3_18 (1923),1923,NA,Common Moorhen,10631,Rallidae,Gallinule poule-d’eau,Gallinula,Gruiformes,species,Gallinula chloropus,Gallinula chloropus,A,NA,NA,NA,NA,NA,NA
Lymnocryptes minimus,Lymnocryptes minima; Lymnocryptes minimus,1,Taxon concept 6285aff1-5557-421b-a873-c1b5e7267d20 containing 'Lymnocryptes minimus' and 'Lymnocryptes minima' found between 1931 to 2017 in 7 datasets (part of name cluster a739e72a-422a-43f6-9301-db9f84a39999),added -> rename -> rename -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced,,aou_4 (1931),1931,Monotypic.,Jack Snipe,451,Scolopacidae,Bécassine sourde,Lymnocryptes,Charadriiformes,species,Lymnocryptes minimus,Lymnocryptes minimus,A,NA,NA,NA,NA,NA,Scolopacinae
Centrocercus urophasianus,Centrocercus urophasianus,2,Taxon concept b2c84020-35b5-4af2-832f-32404fd557a2 containing 'Centrocercus urophasianus' found between 1886 to 2000 in 7 datasets (part of name cluster fdf244ec-e92a-428c-acbb-317d3bd50cab); Taxon concept 574c116a-c58c-4169-9b6e-b0101657df2f containing 'Centrocercus urophasianus' found between 2000 to 2017 in 2 datasets (part of name cluster fdf244ec-e92a-428c-acbb-317d3bd50cab),added -> referenced -> referenced -> referenced -> referenced -> referenced -> split -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> split -> referenced,split,aou_1.csv (1886),1886,NA,Greater Sage-Grouse,99; 309,Phasianidae,Tétras des armoises,Centrocercus,Galliformes,species,Centrocercus urophasianus,Centrocercus urophasianus,NA,NA,NA,NA,NA,NA,Tetraoninae
Puffinus opisthomelas,Puffinus opisthomelas,2,Taxon concept 19e47130-ec8c-40af-8eaa-9ba2891832b4 containing 'Puffinus opisthomelas' found between 1950 to 2017 in 4 datasets (part of name cluster 9ddd9077-0001-4410-9500-1f553921ccc3); Taxon concept d4acf858-6ad5-4558-8dff-3d5b1715cc15 containing 'Puffinus opisthomelas' found between 1950 in 1 datasets (part of name cluster 9ddd9077-0001-4410-9500-1f553921ccc3),referenced -> referenced -> referenced -> referenced -> lump -> added -> referenced -> referenced,referenced -> referenced -> referenced -> referenced -> lump -> added -> referenced -> referenced,lump,aou_2_08 (1897),1897,Monotypic.,Black-vented Shearwater,179,Procellariidae,Puffin cul-noir,Puffinus,Procellariiformes,species,Puffinus opisthomelas,Puffinus opisthomelas,NA,NA,NA,NA,NA,NA,NA
Riparia riparia,Clivicola riparia; Riparia riparia,1,Taxon concept 05248113-0a98-4077-9888-4e11472a9ab4 containing 'Clivicola riparia' and 'Riparia riparia' found between 1886 to 2017 in 4 datasets (part of name cluster 99938722-8d97-4887-a5c0-23d4ca656cef),added -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Bank Swallow,616; 1328,Hirundinidae,Hirondelle de rivage,Riparia,Passeriformes,species,Clivicola riparia; Riparia riparia,Riparia riparia,NA,NA,NA,NA,NA,NA,Hirundininae
Euphagus carolinus,Euphagus carolinus; Scolecophagus carolinus,1,Taxon concept 2e6e5b77-7ea0-4ada-9e37-b2173139d302 containing 'Euphagus carolinus' and 'Scolecophagus carolinus' found between 1886 to 2017 in 6 datasets (part of name cluster 3256abd9-0165-4a34-af0b-1aac335b6eeb),added -> rename -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Rusty Blackbird,1784; 509,Icteridae,Quiscale rouilleux,Euphagus,Passeriformes,species,Euphagus carolinus; Scolecophagus carolinus,Euphagus carolinus,NA,NA,NA,NA,NA,NA,NA
Basileuterus culicivorus,Basileuterus culicivorus,2,Taxon concept 756046e7-7557-48ad-9cc6-5f88f4d0b6d1 containing 'Basileuterus culicivorus' found between 1886 to 2012 in 6 datasets (part of name cluster e7229075-2aa2-4ad4-b753-b8051253e394); Taxon concept bb1ac43c-9ce1-43de-84c1-b5ba1124d17f containing 'Basileuterus culicivorus' found between 2012 to 2017 in 2 datasets (part of name cluster e7229075-2aa2-4ad4-b753-b8051253e394),added -> deleted -> added -> referenced -> referenced -> lump -> referenced,added -> deleted -> added -> referenced -> referenced -> lump -> referenced,lump,aou_1.csv (1886),1886,NA,Golden-crowned Warbler,[692]; 1610,Parulidae,Paruline à couronne dorée,Basileuterus,Passeriformes,species,Basileuterus culicivorus,Basileuterus culicivorus,NA,NA,NA,NA,NA,NA,NA
Setophaga ruticilla,Setophaga ruticilla,1,Taxon concept 50c88616-bc9b-4f26-b091-9dc972f05db2 containing 'Setophaga ruticilla' found between 1886 to 2017 in 9 datasets (part of name cluster 41996236-8ad1-4c51-bc0f-f061f4af9a5c),added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,American Redstart,1576; 687,Parulidae,Paruline flamboyante,Setophaga,Passeriformes,species,Setophaga ruticilla,Setophaga ruticilla,NA,NA,NA,NA,NA,NA,NA
Turdus iliacus,Turdus musicus; Turdus iliacus; Arceuthornis musicus,1,Taxon concept ecc2a319-61af-4a90-8503-694601a004d4 containing 'Turdus iliacus' and 'Turdus musicus' and 'Arceuthornis musicus' found between 1886 to 2017 in 10 datasets (part of name cluster 343bc49d-3f78-4dc5-984d-49126c0c36bb),added -> rename -> rename -> rename -> referenced -> rename -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Redwing,1460; [760],Turdidae,Grive mauvis,Turdus,Passeriformes,species,Turdus iliacus,Turdus iliacus,A,NA,NA,NA,NA,NA,NA
